,cityName,cloudiness,country,date,humidity,lat,lng,maxTemp,windSpeed
365,gemena,32,CD,1545863854,99,3.25,19.78,20.22,0.32
366,kjollefjord,75,NO,1545861000,79,70.95,27.35,-2.0,6.7
367,victoria,75,BN,1545861600,88,5.28,115.24,25.0,5.1
368,sao bernardo,48,BR,1545863855,68,-3.36,-42.42,27.57,4.37
369,kaeo,0,NZ,1545863856,55,-35.1,173.78,23.45,6.02
370,alta floresta,36,BR,1545863856,95,-9.87,-56.08,24.87,0.62
371,astoria,40,US,1545861300,82,46.19,-123.83,8.9,2.6
372,souillac,0,FR,1545861600,86,45.6,-0.6,6.0,2.1
373,cayenne,75,GF,1545861600,88,4.94,-52.33,25.0,3.6
374,atar,0,MR,1545863857,33,20.52,-13.05,11.62,2.62
375,celestun,76,MX,1545863857,85,20.87,-90.4,25.92,7.02
376,manica,0,MZ,1545858000,78,-18.94,32.88,26.0,1.07
377,farafangana,76,MG,1545863858,100,-22.82,47.83,24.35,0.67
378,ous,36,RU,1545863858,72,60.91,61.52,-18.98,3.52
379,indaparapeo,75,MX,1545860400,37,19.79,-100.97,22.0,4.6
380,vestmannaeyjar,92,IS,1545863858,98,63.44,-20.27,5.8,5.32
